,收盘价(元)
919,2833.6576046602268
920,2796.356028258865
921,2797.7613722807228
922,2811.811005526461
923,2799.6657152668627
924,2799.0020647274873
925,2812.337129172189
926,2836.242158517572
927,2811.616945086222
928,2797.4787045477606
929,2787.7092508598553
930,2815.4459983631664
931,2831.904208146975
932,2847.199007032559
933,2834.858038369267
934,2834.9712006367727
935,2821.14284768704
936,2769.5485628244564
937,2774.163184945801
938,2765.043295997783
939,2769.4487249618714
940,2751.8161592329393
941,2768.8115328836966
942,2792.4058180714624
943,2770.5753033979217
944,2763.5176516343554
945,2746.0536396276707
946,2765.926418521067
947,2766.774802417236
948,2763.095839044292
949,2750.2460684616685
950,2733.388697576162
951,2737.029971918045
952,2745.4924918318648
953,2739.227071115158
954,2759.5494535003095
955,2771.489167226845
956,2773.8341673185787
957,2776.5354048933013
958,2783.2943044636804
959,2774.9960554276695
960,2824.465859099958
961,2840.3752937496724
962,2876.569516927798
963,2871.4515178234115
964,2871.471885128076
965,2859.928953145217
966,2819.7784286231536
967,2838.7460045508255
968,2837.984514809604
969,2862.229316480466
970,2860.0221288053413
971,2893.322100886035
972,2902.934802467479
973,2902.934802467479
974,2923.07584730288
975,2887.385680863768
976,2913.7368466695366
977,2911.2973109583063
978,2933.213684788253
979,2924.976580031887
980,2909.1763685184096
981,2894.153810793709
982,2895.4851427824597
983,2914.5892531348604
984,2873.498441182511
985,2881.606941208191
986,2802.310356371682
987,2585.8453403307217
988,2620.380229573457
989,2653.1436498465064
990,2698.7313907602224
991,2707.6319490576907
992,2721.306040049142
993,2731.8378825110317
994,2755.5861676511486
995,2735.9795008914243
996,2746.2737164570826
997,2808.98942328901
998,2810.259653908642
999,2801.250073445629
1000,2852.7976927424766
1001,2861.7557748250465
1002,2861.7557748250465
1003,2853.8136324561183
1004,2836.694704644895
1005,2813.0436733018496
1006,2816.244763673783
1007,2711.7181148858326
1008,2797.0410458506162
1009,2817.7209878151884
1010,2835.3913342996393
1011,2891.890235727905
1012,2856.8997694047957
1013,2771.0183587457
1014,2821.3597673474146
1015,2794.7685268247724
1016,2752.3724615882106
1017,2718.423919536334
1018,2625.997224772725
1019,2616.946878681317
1020,2569.0407691781816
1021,2543.972543829998
1022,2584.9157333682065
1023,2504.4664133029114
1024,2563.09237672268
1025,2618.783309044981
1026,2603.079221565201
1027,2609.9447935861085
1028,2586.417942067203
1029,2589.319927585996
1030,2574.4685290123834
1031,2617.8857120447155
1032,2602.209774502326
1033,2655.662645581675
1034,2650.5836060421
1035,2660.5019869921666
1036,2632.9429158462044
1037,2620.1543710457
1038,2661.8006499900325
1039,2646.634612316894
1040,2654.882732266152
1041,2672.3559350419227
1042,2685.591395403604
1043,2661.546735671833
1044,2677.520742450937
1045,2672.360548242365
1046,2644.1446138416463
1047,2650.7023253432685
1048,2645.552110711162
1049,2657.243372835131
1050,2692.6800956907823
1051,2692.6800956907823
1052,2709.681151523368
1053,2703.4514479878594
1054,2725.878380715691
1055,2725.367727670858
1056,2722.312094333266
1057,2728.4251498004583
1058,2702.3395725344158
1059,2700.5663147727214
1060,2707.117906722737
1061,2728.920833480592
1062,2714.951121073068
1063,2700.062628602025
1064,2649.0742421750724
1065,2653.0324623011625
1066,2679.9374004538536
1067,2670.7640043016795
1068,2679.6308579918373
1069,2685.401595156852
1070,2744.7893956781672
1071,2750.4070499060695
1072,2752.2646633329864
1073,2748.3853383491473
1074,2759.2580869089984
1075,2765.821917962227
1076,2783.088844775382
1077,2771.453129350611
1078,2749.9351854037272
1079,2748.8468466872323
1080,2720.87560020383
1081,2760.152482913038
1082,2764.034820599207
1083,2767.2754526892136
1084,2793.9369268349105
1085,2791.712799340232
1086,2796.7483429899257
1087,2805.155853721798
1088,2788.177299009735
1089,2809.9795667389562
1090,2848.86875231715
1091,2909.6766653989857
1092,2968.276832555059
1093,3137.8054526551587
1094,3149.532584766237
1095,3204.2349741367034
1096,3248.6284610176563
1097,3185.294585326516
1098,3241.7489552484753
1099,3214.759190695822
1100,3164.5654986551954
1101,3022.2098530681556
1102,3026.0040692111893
1103,3120.170128835287
1104,3126.5209994926063
1105,3138.071700223519
1106,3130.4897640768495
1107,3009.6598766333605
1108,3017.623202065542
1109,3039.0261925891696
1110,3101.7202456231043
1111,3094.442592411704
1112,3116.270091522933
1113,3170.837003435525
1114,3174.3408703915625
1115,3179.8741689542417
1116,3188.251646809768
1117,3157.721768726176
1118,3181.4629928452077
1119,3144.781082458037
1120,3124.9872515660995
1121,3126.362267738626
1122,3163.430463052595
1123,3237.5261821990844
1124,3249.095335731765
1125,3208.649242077907
1126,3167.008047068755
1127,3182.8093883456054
1128,3187.475122784366
1129,3176.1208125865505
1130,3134.8474497024285
1131,3154.028948845916
1132,3204.5800227003674
1133,3196.92672316727
1134,3210.9822034442345
1135,3205.5168789778627
1136,3186.8559183087264
1137,3158.9752411891013
1138,3099.873647389079
1139,3099.873647389079
1140,3122.305381611248
1141,3064.1328298920535
1142,3045.4874976162514
1143,3069.516340660793
1144,3086.903116538489
1145,3102.7816583125305
1146,3091.7145904524336
1147,3079.014732076751
1148,3142.7095671657326
1149,3122.7931569477673
1150,3082.6549238131943
1151,3087.7473322193555
1152,3034.5222026067195
1153,3030.983689573893
1154,3029.2106201060947
1155,3035.635866852171
1156,3029.697830560927
1157,3080.559871783941
1158,3161.892478513437
1159,3163.1019843517424
1160,3145.240707857166
1161,3137.1487776942977
1162,3141.0794127646845
1163,3118.7749652159323
1164,3133.3072997834715
1165,3130.409268436486
1166,3118.618116400908
1167,3086.1343125628055
1168,3060.8291193470254
1169,3063.8389031210418
